doc_id,empty,short,high_nonascii,high_digits,high_noise,very_long_line_raw,very_long_line_norm
84104905.txt,False,False,False,False,False,False,False
7606751.txt,False,False,False,False,False,True,False
5255640.txt,False,False,False,False,False,False,False
134129494.txt,False,False,False,False,False,True,False
86587427.txt,False,False,False,False,False,False,False
112493290.txt,False,False,False,False,False,False,False
107418058.txt,False,False,False,False,False,False,False
87014753.txt,False,False,False,False,False,True,False
86571258.txt,False,False,False,False,False,False,True
156130250.txt,False,False,False,False,False,True,False
143564595.txt,False,False,False,False,False,True,False
11936536.txt,False,False,False,False,False,True,False
162466914.txt,False,False,False,False,False,True,False
148448849.txt,False,False,False,False,False,True,False
174672137.txt,False,False,False,False,False,True,True
127958347.txt,False,False,False,False,False,True,False
108119154.txt,False,False,False,False,False,False,False
7854888.txt,False,False,False,False,False,False,False
86568077.txt,False,False,False,False,False,False,False
162888493.txt,False,False,False,False,False,True,True
41004554.txt,False,False,False,False,False,True,False
127959093.txt,False,False,False,False,False,True,False
86676188.txt,False,False,False,False,False,False,False
95388877.txt,False,False,False,False,False,False,False
158145933.txt,False,False,False,False,False,True,False
150060304.txt,False,False,False,False,False,True,False
52451606.txt,False,False,False,False,False,True,False
167350485.txt,False,False,False,False,False,True,False
132746145.txt,False,False,False,False,False,True,False
10185019.txt,False,False,False,False,False,True,False
167956605.txt,False,False,False,False,False,True,False
122789267.txt,False,False,False,False,False,False,False
129100329.txt,False,False,False,False,False,True,False
151497102.txt,False,False,False,False,False,True,False
112785916.txt,False,False,False,False,False,False,False
276153459.txt,False,False,False,False,False,True,False
57298637.txt,False,False,False,False,False,False,False
132992819.txt,False,False,False,False,False,True,False
172876739.txt,False,False,False,False,False,True,False
158893362.txt,False,False,False,False,False,True,False
136579968.txt,False,False,False,False,False,True,False
69404053.txt,False,False,False,False,False,True,False
150039034.txt,False,False,False,False,False,True,False
150369224.txt,False,False,False,False,False,True,False
172067664.txt,False,False,False,False,False,True,False
162889008.txt,False,False,False,False,False,True,True
46317383.txt,False,False,False,False,False,True,False
113590267.txt,False,False,False,False,False,False,False
141962628.txt,False,False,False,False,False,True,True
59868359.txt,False,False,False,False,False,False,False
154882312.txt,False,False,False,False,False,True,False
70859499.txt,False,False,False,False,False,True,False
33163639.txt,False,False,False,False,False,False,False
46800978.txt,False,False,False,False,False,True,False
127102742.txt,False,False,False,False,False,True,False
84096079.txt,False,False,False,False,False,False,False
170717433.txt,False,False,False,False,False,True,False
59754149.txt,False,False,False,False,False,False,False
190851.txt,False,False,False,False,False,True,False
86564914.txt,False,False,False,False,False,False,True
39819739.txt,False,False,False,False,False,True,False
172812517.txt,False,False,False,False,False,True,False
121254601.txt,False,False,False,False,False,False,False
55901696.txt,False,False,False,False,False,True,False
9080503.txt,False,False,False,False,False,True,False
84115482.txt,False,False,False,False,False,False,False
172068996.txt,False,False,False,False,False,True,False
77897304.txt,False,False,False,False,False,False,False
161218985.txt,False,False,False,False,False,True,False
137190723.txt,False,False,False,False,False,True,False
63320866.txt,False,False,False,False,False,False,False
141963452.txt,False,False,False,False,False,True,False
130448592.txt,False,False,False,False,False,True,False
148296180.txt,False,False,False,False,False,True,False
11367054.txt,False,False,False,False,False,True,False
8869039.txt,False,False,False,False,False,True,False
154657385.txt,False,False,False,False,False,True,False
112445592.txt,False,False,False,False,False,False,False
123404429.txt,False,False,False,False,False,True,True
135477979.txt,False,False,False,False,False,True,False
170176775.txt,False,False,False,False,False,True,False
137546830.txt,False,False,False,False,False,True,False
46520739.txt,False,False,False,False,False,True,False
39101101.txt,False,False,False,False,False,True,True
145591133.txt,False,False,False,False,False,True,False
46267123.txt,False,False,False,False,False,True,False
168947315.txt,False,False,False,False,False,True,False
44209017.txt,False,False,False,False,False,False,False
153335857.txt,False,False,False,False,False,True,False
15184982.txt,False,False,False,False,False,True,False
82317779.txt,False,False,False,False,False,False,False
133022715.txt,False,False,False,False,False,True,False
71169809.txt,False,False,False,False,False,True,False
209689.txt,False,False,False,False,False,True,False
18822984.txt,False,False,False,False,False,True,False
171724480.txt,False,False,False,False,False,True,False
70084860.txt,False,False,False,False,False,False,False
6977769.txt,False,False,False,False,False,False,False
40837803.txt,False,False,False,False,False,True,False
82331102.txt,False,False,False,False,False,False,True
168487453.txt,False,False,False,False,False,True,False
136579923.txt,False,False,False,False,False,True,False
82320832.txt,False,False,False,False,False,False,False
238637056.txt,False,False,False,False,False,True,False
137090700.txt,False,False,False,False,False,True,False
170608274.txt,False,False,False,False,False,True,False
158150397.txt,False,False,False,False,False,True,False
7897381.txt,False,False,False,False,False,True,False
168947019.txt,False,False,False,False,False,True,False
82321282.txt,False,False,False,False,False,False,False
40843262.txt,False,False,False,False,False,False,False
276257867.txt,False,False,False,False,False,True,False
128779122.txt,False,False,False,False,False,False,False
86574538.txt,False,False,False,False,False,False,False
275539175.txt,False,False,False,False,False,True,True
132931419.txt,False,False,False,False,False,True,False
268636899.txt,False,False,False,False,False,True,False
291133473.txt,False,False,False,False,False,True,False
82298081.txt,False,False,False,False,False,False,False
46029115.txt,False,False,False,False,False,True,False
268744707.txt,False,False,False,False,False,True,False
1200136.txt,False,False,False,False,False,False,False
33652114.txt,False,False,False,False,False,False,False
275910970.txt,False,False,False,False,False,True,False
11662369.txt,False,False,False,False,False,True,False
86584550.txt,False,False,False,False,False,False,False
165806406.txt,False,False,False,False,False,True,True
167203.txt,False,False,False,False,False,False,False
11347594.txt,False,False,False,False,False,True,False
158017891.txt,False,False,False,False,False,True,False
68565473.txt,False,False,False,False,False,True,False
150427951.txt,False,False,False,False,False,True,False
160732812.txt,False,False,False,False,False,True,False
18415200.txt,False,False,False,False,False,False,False
68642370.txt,False,False,False,False,False,False,False
46059875.txt,False,False,False,False,False,True,False
157828574.txt,False,False,False,False,False,True,False
7595810.txt,False,False,False,False,False,True,False
69991741.txt,False,False,False,False,False,False,False
154787773.txt,False,False,False,False,False,True,False
173106482.txt,False,False,False,False,False,True,False
77803119.txt,False,False,False,False,False,False,False
7609248.txt,False,False,False,False,False,True,False
71169265.txt,False,False,False,False,False,True,False
162217950.txt,False,False,False,False,False,True,False
53855297.txt,False,False,False,False,False,False,False
155458646.txt,False,False,False,False,False,True,False
86734823.txt,False,False,False,False,False,False,False
82304628.txt,False,False,False,False,False,False,False
78200424.txt,False,False,False,False,False,False,False
86767029.txt,False,False,False,False,False,False,False
33686383.txt,False,False,False,False,False,True,False
10172985.txt,False,False,False,False,False,True,False
68216950.txt,False,False,False,False,False,False,False
154786866.txt,False,False,False,False,False,True,True
150066855.txt,False,False,False,False,False,True,False
68826025.txt,False,False,False,False,False,False,False
149992115.txt,False,False,False,False,False,True,False
159430065.txt,False,False,False,False,False,True,False
46554506.txt,False,False,False,False,False,True,False
99229726.txt,False,False,False,False,False,False,False
71096797.txt,False,False,False,False,False,False,False
149204680.txt,False,False,False,False,False,True,False
125972253.txt,False,False,False,False,False,True,True
157288154.txt,False,False,False,False,False,True,False
86585666.txt,False,False,False,False,False,False,True
154806195.txt,False,False,False,False,False,True,True
25379272.txt,False,False,False,False,False,True,False
19100560.txt,False,False,False,False,False,True,False
41069174.txt,False,False,False,False,False,True,False
66440333.txt,False,False,False,False,False,False,False
4232556.txt,False,False,False,False,False,False,False
46800952.txt,False,False,False,False,False,True,False
139269721.txt,False,False,False,False,False,True,False
121255564.txt,False,False,False,False,False,False,False
68463125.txt,False,False,False,False,False,False,False
136579702.txt,False,False,False,False,False,True,False
64217826.txt,False,False,False,False,False,False,False
129942762.txt,False,False,False,False,False,True,False
120345269.txt,False,False,False,False,False,True,False
150406078.txt,False,False,False,False,False,True,False
163368689.txt,False,False,False,False,False,True,False
204447.txt,False,False,False,False,False,True,False
275931733.txt,False,False,False,False,False,True,False
152348467.txt,False,False,False,False,False,True,False
171742557.txt,False,False,False,False,False,True,False
78663730.txt,False,False,False,False,False,True,True
123404513.txt,False,False,False,False,False,True,False
132729155.txt,False,False,False,False,False,True,False
171404495.txt,False,False,False,False,False,True,True
150639605.txt,False,False,False,False,False,True,False
158188022.txt,False,False,False,False,False,True,False
2497210.txt,False,False,False,False,False,False,False
7610179.txt,False,False,False,False,False,True,False
74840208.txt,False,False,False,False,False,False,False
70414250.txt,False,False,False,False,False,False,False
68229719.txt,False,False,False,False,False,False,False
168947005.txt,False,False,False,False,False,True,True
11750376.txt,False,False,False,False,False,False,False
25369024.txt,False,False,False,False,False,True,False
71175678.txt,False,False,False,False,False,True,False
10731093.txt,False,False,False,False,False,False,False
153677901.txt,False,False,False,False,False,True,False
